date,event,violent_or_natural,cause,deaths_per_day,over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
3/27/2020,COVID-19 Pandemic,nonviolent,Pandemic,423,-8569.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/22/2020,COVID-19 Pandemic,nonviolent,Pandemic,410,-8582.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
11/1/2020,COVID-19 Pandemic,nonviolent,Pandemic,405,-8587.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/24/2020,COVID-19 Pandemic,nonviolent,Pandemic,394,-8598.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/14/2020,COVID-19 Pandemic,nonviolent,Pandemic,387,-8605.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/25/2020,COVID-19 Pandemic,nonviolent,Pandemic,380,-8612.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/4/2020,COVID-19 Pandemic,nonviolent,Pandemic,378,-8614.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/14/2020,COVID-19 Pandemic,nonviolent,Pandemic,373,-8619.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
6/29/2020,COVID-19 Pandemic,nonviolent,Pandemic,370,-8622.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
10/5/2020,COVID-19 Pandemic,nonviolent,Pandemic,361,-8631.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
